ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:14,,,1410,ValidSlopeSaturation,4097367
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:15,,,1370,ValidSlopeSaturation,4097850
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:16,,,1350,ValidSlopeSaturation,4098344
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:17,,,1240,ValidSlopeSaturation,4098841
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:18,,,1590,ValidSlopeSaturation,4099324
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:19,,,1490,ValidSlopeSaturation,4099817
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:20,,,1570,ValidSlopeSaturation,4100309
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:21,,,1530,ValidSlopeSaturation,4100792
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:22,,,1330,ValidSlopeSaturation,4101284
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:23,,,1380,ValidSlopeSaturation,4101774
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:24,,,1510,ValidSlopeSaturation,4102262
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:1,,,1620,ValidSlopeSaturation,4104104
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:2,,,1470,ValidSlopeSaturation,4104594
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:3,,,1550,ValidSlopeSaturation,4105078
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:4,,,1520,ValidSlopeSaturation,4105558
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:5,,,1510,ValidSlopeSaturation,4106038
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:6,,,1520,ValidSlopeSaturation,4106521
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:7,,,1520,ValidSlopeSaturation,4107003
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:8,,,1760,ValidSlopeSaturation,4107491
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:9,,,1310,ValidSlopeSaturation,4107974
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:10,,,1350,ValidSlopeSaturation,4108461
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:11,,,1470,ValidSlopeSaturation,4108948
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:12,,,1420,ValidSlopeSaturation,4109429
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:13,,,1340,ValidSlopeSaturation,4109909
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:14,,,1400,ValidSlopeSaturation,4110385
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:15,,,1370,ValidSlopeSaturation,4110875
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:16,,,1380,ValidSlopeSaturation,4111364
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:17,,,1250,ValidSlopeSaturation,4111848
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:18,,,1360,ValidSlopeSaturation,4112344
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:19,,,1240,ValidSlopeSaturation,4112838
